,title,link,views,date,thumbnail
0,7 BEST AI Tools for Developers in 2024 | GeeksforGeeks,/watch?v=mpIDwAT7m_0,680 views,1 day ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
1,3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,/watch?v=udtb67DKyq0,1.1K views,3 days ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
2,SHARDING and PARTITIONING | Picking the Right DATABASE | System Design Course Lec 3 | GeeksforGeeks,/watch?v=eXuOifBVTqg,499 views,4 days ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
3,FAKE NEWS DETECTION Using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,/watch?v=CkiXRQvz4Z4,1K views,8 days ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
4,Power of RELATIONAL DATABASE & DATABASE ISOLATION | System Design Course - Lec 2 | GeeksforGeeks,/watch?v=l-r2aAogQ0g,496 views,11 days ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
5,HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,/watch?v=F_9gGyCs3YY,1.2K views,12 days ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
6,DATA SCIENCE PROJECT with JULIUS AI | AI Tools | GeeksforGeeks,/watch?v=wvcv4y20vWg,740 views,13 days ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
7,WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,/watch?v=AmU9Zi6TNrs,983 views,2 weeks ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
8,Doctor Aaye #successsepareshan Rohan ko Dekhne...,/watch?v=zbBALFXGy4Y,64K views,2 weeks ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
9,ATS Friendly Resume for Placement in 2024!!! GeeksforGeeks,/watch?v=GF69ZVc1icg,964 views,2 weeks ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
