,title,data,likes,views,description
0,7 BEST AI Tools for Developers in 2024 | GeeksforGeeks,2 days ago,"Discover the Top 7 AI Tools Every Developer Needs! Dive into the world of cutting-edge technology as we go through the essential AI tools revolutionizing the way developers code. 
",707 views,"Discover the Top 7 AI Tools Every Developer Needs! Dive into the world of cutting-edge technology as we go through the essential AI tools revolutionizing the way developers code. 
"
1,3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,4 days ago,"Discover the ultimate guide to building your own stunning 3D Portfolio Website with React and Three.js in this comprehensive step-by-step tutorial.
",1.1K views,"Discover the ultimate guide to building your own stunning 3D Portfolio Website with React and Three.js in this comprehensive step-by-step tutorial.
"
2,SHARDING and PARTITIONING | Picking the Right DATABASE | System Design Course Lec 3 | GeeksforGeeks,5 days ago,"Welcome to the third episode of our System Design Series! In this episode, we explore the critical concepts of Sharding and Partitioning, guiding you through the process of selecting the right database for your project.",502 views,"Welcome to the third episode of our System Design Series! In this episode, we explore the critical concepts of Sharding and Partitioning, guiding you through the process of selecting the right database for your project."
3,FAKE NEWS DETECTION Using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,9 days ago,"Welcome to our Machine Learning Project Series! 📊🔍 Join us as we dive into the realm of media integrity, focusing on the crucial task of Fake News Detection using Machine Learning techniques.
",1K views,"Welcome to our Machine Learning Project Series! 📊🔍 Join us as we dive into the realm of media integrity, focusing on the crucial task of Fake News Detection using Machine Learning techniques.
"
4,Power of RELATIONAL DATABASE & DATABASE ISOLATION | System Design Course - Lec 2 | GeeksforGeeks,12 days ago,"Welcome to the second episode of our System Design Series! In this installment, we delve into the realm of databases and database isolations.
",497 views,"Welcome to the second episode of our System Design Series! In this installment, we delve into the realm of databases and database isolations.
"
5,HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,12 days ago,"Welcome to our Machine Learning Project Series! 📊🔍  In this episode, we will dive into healthcare analytics with a focus on Heart Disease Detection using Logistic Regression.
",1.2K views,"Welcome to our Machine Learning Project Series! 📊🔍  In this episode, we will dive into healthcare analytics with a focus on Heart Disease Detection using Logistic Regression.
"
6,DATA SCIENCE PROJECT with JULIUS AI | AI Tools | GeeksforGeeks,2 weeks ago,"Join us as we bring to you yet another Data Science Project made easily with the help of another AI tool that is Julius.AI. 
",744 views,"Join us as we bring to you yet another Data Science Project made easily with the help of another AI tool that is Julius.AI. 
"
7,WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,2 weeks ago,"🚀 Dive into the top 5 advantages of learning Python in 2024 and unlock a world of opportunities! Python has surged in popularity, becoming one of the most sought-after programming languages thanks to its simplicity and beginner-friendly nature. With recent breakthroughs in Data Scie",983 views,"🚀 Dive into the top 5 advantages of learning Python in 2024 and unlock a world of opportunities! Python has surged in popularity, becoming one of the most sought-after programming languages thanks to its simplicity and beginner-friendly nature. With recent breakthroughs in Data Scie"
8,Doctor Aaye #successsepareshan Rohan ko Dekhne...,65K views,"Kya aapko bhi chahiye yeh vali bimari?
Toh Rohan jaisa bano aur enroll karo GeeksforGeeks ke courses mein!
",Doctor Aaye ,"Kya aapko bhi chahiye yeh vali bimari?
Toh Rohan jaisa bano aur enroll karo GeeksforGeeks ke courses mein!
"
9,ATS Friendly Resume for Placement in 2024!!! GeeksforGeeks,2 weeks ago,"Are you ready to take your resume to the next level and stand out in today's competitive job market? 

Then join us as we walk you through the essential steps to ensure your resume not only get",966 views,"Are you ready to take your resume to the next level and stand out in today's competitive job market? 

Then join us as we walk you through the essential steps to ensure your resume not only get"
10,The Secrets of a Good SYSTEM DESIGN | System Design Course - Lec 1 | GeeksforGeeks,2 weeks ago,"Welcome to the first episode of our System Design Series! In this video, we will dive into the world of System Design and understand What System Design is, its importance in the tech landscape, and the fundamental steps of the system design process. ",773 views,"Welcome to the first episode of our System Design Series! In this video, we will dive into the world of System Design and understand What System Design is, its importance in the tech landscape, and the fundamental steps of the system design process. "
11,React JS Made Easy with ChatGPT | GeeksforGeeks,3 weeks ago,"Welcome to the video where we will utilize the power of ChatGPT for learning as well as for coding and fixing code in React JS.
",1K views,"Welcome to the video where we will utilize the power of ChatGPT for learning as well as for coding and fixing code in React JS.
"
12,TREE PRACTICE PROBLEMS | Tree Traversal Algorithms | DSA Course | GeeksforGeeks,3 weeks ago,"💻In this video we will be discussing the famous practice questions on Tree Data Structure, ie. InOrder Traversal, Postorder Traversal, and Preorder Traversals. We will understand how these individual traversal algorithms work and also see the code to implement these algorithms.",671 views,"💻In this video we will be discussing the famous practice questions on Tree Data Structure, ie. InOrder Traversal, Postorder Traversal, and Preorder Traversals. We will understand how these individual traversal algorithms work and also see the code to implement these algorithms."
13,GATE CS 2024 ANSWER KEY OUT!! Detailed Paper Discussion - Shift 1 | GeeksforGeeks,3 weeks ago,"With GATE 2024 CS and IT Answer Keys released, we bring to you a detailed paper discussion for the first shift of GATE CS Exams.
",765 views,"With GATE 2024 CS and IT Answer Keys released, we bring to you a detailed paper discussion for the first shift of GATE CS Exams.
"
14,GATE DS & AI 2024 Response Sheet Out | GATE DS & AI | Data Science GATE Response key | GeeksforGeeks,3 weeks ago,"Great News for GATE DS & AI 2024 Aspirants! Response key has been released for your performance analysis. Check out this video where we'll help you challenge questions if you find any discrepancies. Learn how to access the answer key, analyze your answers, and submit challenges effectively. Stay updated with the latest info to ensure fairness in evaluation. Don't skip this vital guide t",974 views,"Great News for GATE DS & AI 2024 Aspirants! Response key has been released for your performance analysis. Check out this video where we'll help you challenge questions if you find any discrepancies. Learn how to access the answer key, analyze your answers, and submit challenges effectively. Stay updated with the latest info to ensure fairness in evaluation. Don't skip this vital guide t"
15,Kyun Hai Rohan #successsepareshan? | GeeksforGeeks,563 views,"Kya aapko bhi chaiye aise pareshani?
Toh Rohan jaisa bano aur enroll karo GeeksforGeeks ke courses mein!

",Kyun Hai Rohan ,"Kya aapko bhi chaiye aise pareshani?
Toh Rohan jaisa bano aur enroll karo GeeksforGeeks ke courses mein!

"
16,TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,1 month ago,"Welcome to the next video of our DSA Course, where we dive into the TREE DATA STRUCTURE. 

Understand the essential terminologies of Trees like root and leaf nodes, subtrees, and more. We will also dive into N-ary and ",1.3K views,"Welcome to the next video of our DSA Course, where we dive into the TREE DATA STRUCTURE. 

Understand the essential terminologies of Trees like root and leaf nodes, subtrees, and more. We will also dive into N-ary and "
17,Three 90 Challenge Extended | 100+ Refunds Processed! | GeeksforGeeks,1 month ago,"Start the Three 90 Challenge Today: https://bit.ly/three-90-challenge

Get 90% Refund on premium GfG Course upon completing 90% of the course in just 90 Days! Start Now!",32K views,Start the Three 90 Challenge Today: 
18,TYPESCRIPT vs JAVASCRIPT | Which one to Choose? | GeeksforGeeks,1 month ago,"Let us dive into the comparison between TypeScript vs JavaScript, and discover which one best fits our project needs.

In this video, we will break down the differences between these two languages, covering essential aspects like type safety, co",699 views,"Let us dive into the comparison between TypeScript vs JavaScript, and discover which one best fits our project needs.

In this video, we will break down the differences between these two languages, covering essential aspects like type safety, co"
19,Python's Map Function Explained with Examples | Python Tutorial |  GeeksforGeeks,1 month ago,"In this Python tutorial, we're exploring the super useful Python map() function. This Python tutorial covers the syntax, basic usage, and even some cool tricks with Lambda expressions. We've got your back with practical examples, whether you're adding lists, tweaking strings, or playing with if statements.",932 views,"In this Python tutorial, we're exploring the super useful Python map() function. This Python tutorial covers the syntax, basic usage, and even some cool tricks with Lambda expressions. We've got your back with practical examples, whether you're adding lists, tweaking strings, or playing with if statements."
20,Build your own AI image Generation App using MERN | MERN Stack Project | GeeksforGeeks,1 month ago,"Resource : https://drive.google.com/drive/folder...

Now Build your very own AI Image Generation App using the MERN Stack (MongoDB, Express.js, React.js, Node.js),  we'll walk ",4.1K views,Resource : 
